Tree ID,Day,Hour,Total Sunlight Collected over Day,Sunlight Collected,Total Cell Count,Branch Cell Count,Leaf Cell Count,Width of Tree,Height of Tree,Sunlight over Total Cells,Sunlight over Total Leaf Cells,Age,Growth Iterations,Fitness
Plant 32_0,0,3,0,0,4,4,0,4.015579,8.67561,0,0,3,2,0
Plant 33_0,0,3,9,6,12,12,0,31.04211,32.1307,0.5,0,3,3,9
Plant 34_0,0,3,0,0,0,0,0,5.619385,8.108498,0,0,3,2,0
Plant 35_0,0,3,0,0,0,0,0,3.461296,13.54723,0,0,3,2,0
Plant 36_0,0,3,0,0,1,1,0,4.133484,14.3329,0,0,3,2,0
Plant 37_0,0,3,0,0,1,1,0,3.900589,21.44342,0,0,3,2,0
Plant 38_0,0,3,0,0,0,0,0,3.840073,5.730482,0,0,3,2,0
Plant 39_0,0,3,0,0,0,0,0,4.57843,5.731279,0,0,3,2,0
Plant 40_0,0,3,0,0,0,0,0,7.091614,11.11444,0,0,3,2,0
Plant 41_0,0,3,0,0,0,0,0,4.043564,8.291685,0,0,3,2,0
Plant 42_0,0,3,0,0,1,1,0,1.897736,10.13568,0,0,3,2,0
Plant 43_0,0,3,0,0,0,0,0,4.583622,6.967667,0,0,3,2,0
Plant 44_0,0,3,0,0,0,0,0,1.932434,3.783266,0,0,3,2,0
Plant 45_0,0,3,0,0,0,0,0,2.991043,13.43225,0,0,3,2,0
Plant 46_0,0,3,3,3,1,1,0,5.321701,13.90054,3,0,3,2,3
Plant 47_0,0,3,3,3,0,0,0,3.720894,11.50409,0,0,3,2,3
Plant 48_0,0,3,6,6,0,0,0,3.623625,7.487792,0,0,3,2,6
Plant 49_0,0,3,6,3,12,12,0,11.18847,23.53405,0.25,0,3,3,6
Plant 50_0,0,3,0,0,4,4,0,7.775482,17.44223,0,0,3,2,0
Plant 51_0,0,3,6,6,0,0,0,8.387726,13.76958,0,0,3,2,6
Plant 52_0,0,3,3,3,0,0,0,6.085032,9.099163,0,0,3,2,3
Plant 53_0,0,3,0,0,0,0,0,2.246964,4.957943,0,0,3,2,0
Plant 54_0,0,3,3,3,1,1,0,5.569397,12.16485,3,0,3,2,3
Plant 55_0,0,3,6,3,40,40,0,16.47388,33.35977,0.075,0,3,3,6
Plant 56_0,0,3,0,0,0,0,0,5.243187,4.985983,0,0,3,2,0
Plant 57_0,0,3,9,6,35,35,0,30.33304,29.57394,0.1714286,0,3,3,9
Plant 58_0,0,3,6,6,1,1,0,3.639877,12.99821,6,0,3,2,6
Plant 59_0,0,3,0,0,1,1,0,2.47052,6.591496,0,0,3,2,0
Plant 60_0,0,3,3,3,1,1,0,3.779999,12.93736,3,0,3,2,3
Plant 61_0,0,3,0,0,1,1,0,1.28174,4.214251,0,0,3,2,0
Plant 62_0,0,3,0,0,1,1,0,1.999008,4.773729,0,0,3,2,0
Plant 63_0,0,3,0,0,1,1,0,2.914612,11.38622,0,0,3,2,0
Plant 64_0,0,3,3,3,0,0,0,7.510391,13.18169,0,0,3,2,3
Plant 65_0,0,3,3,3,0,0,0,6.471893,13.88597,0,0,3,2,3
Plant 66_0,0,3,9,6,16,16,0,20.49236,19.90925,0.375,0,3,3,9
Plant 67_0,0,3,0,0,4,4,0,5.91687,10.89728,0,0,3,2,0
Plant 68_0,0,3,0,0,1,1,0,6.458199,13.49459,0,0,3,2,0
Plant 69_0,0,3,3,3,0,0,0,8.743679,9.920073,0,0,3,2,3
Plant 70_0,0,3,3,3,0,0,0,2.978073,7.392193,0,0,3,2,3
Plant 71_0,0,3,3,3,4,4,0,7.874317,15.22249,0.75,0,3,2,3
Plant 72_0,0,3,3,3,1,1,0,3.170807,17.09125,3,0,3,2,3
Plant 73_0,0,3,3,3,0,0,0,2.926918,8.504944,0,0,3,2,3
Plant 74_0,0,3,0,0,0,0,0,3.095749,6.595638,0,0,3,2,0
Plant 75_0,0,3,3,3,0,0,0,2.806931,12.02376,0,0,3,2,3
Plant 76_0,0,3,0,0,0,0,0,4.608978,12.33037,0,0,3,2,0
Plant 77_0,0,3,3,3,4,4,0,12.71356,20.7177,0.75,0,3,2,3
Plant 78_0,0,3,0,0,1,1,0,1.166609,4.48981,0,0,3,2,0
Plant 79_0,0,3,3,3,1,1,0,3.34198,10.54697,3,0,3,2,3
Plant 80_0,0,3,0,0,0,0,0,2.298684,3.572597,0,0,3,2,0
Plant 81_0,0,3,0,0,1,1,0,2.576413,6.349005,0,0,3,2,0
Plant 82_0,0,3,9,9,0,0,0,2.101807,9.359472,0,0,3,2,9
Plant 83_0,0,3,3,3,0,0,0,3.893494,14.71356,0,0,3,2,3
Plant 84_0,0,3,12,5,61,61,0,33.42479,52.89137,0.08196721,0,3,4,12
Plant 85_0,0,3,0,0,1,1,0,1.924362,8.131823,0,0,3,2,0
Plant 86_0,0,3,3,3,0,0,0,6.511414,12.8996,0,0,3,2,3
Plant 87_0,0,3,6,3,20,20,0,18.10156,28.85697,0.15,0,3,3,6
Plant 88_0,0,3,6,6,0,0,0,9.996124,10.20151,0,0,3,2,6
Plant 89_0,0,3,3,3,1,1,0,2.940628,6.645136,3,0,3,2,3
Plant 90_0,0,3,0,0,4,4,0,6.923584,15.21965,0,0,3,2,0
Plant 91_0,0,3,3,3,1,1,0,2.25267,7.496155,3,0,3,2,3
Plant 92_0,0,3,0,0,0,0,0,2.364227,4.078703,0,0,3,2,0
Plant 93_0,0,3,0,0,1,1,0,2.027649,10.4652,0,0,3,2,0
Plant 94_0,0,3,0,0,1,1,0,3.607681,8.190473,0,0,3,2,0
Plant 95_0,0,3,3,3,0,0,0,4.632336,10.49004,0,0,3,2,3
Plant 96_0,0,3,0,0,1,1,0,1.690369,8.160007,0,0,3,2,0
Plant 97_0,0,3,0,0,1,1,0,2.315033,10.06632,0,0,3,2,0
Plant 98_0,0,3,0,0,0,0,0,3.246033,7.737983,0,0,3,2,0
Plant 99_0,0,3,9,6,21,21,0,23.83762,36.85353,0.2857143,0,3,3,9
Plant 0_0,0,4,0,0,0,0,0,7.446573,11.00578,0,0,4,2,0
Plant 1_0,0,4,3,3,0,0,0,4.858634,14.20726,0,0,4,2,3
Plant 2_0,0,4,33,26,512,512,0,137.3963,245.0522,0.05078125,0,4,4,33
Plant 3_0,0,4,6,6,0,0,0,7.531281,11.99969,0,0,4,2,6
Plant 4_0,0,4,0,0,0,0,0,3.918777,9.893363,0,0,4,2,0
Plant 5_0,0,4,3,0,13,13,0,9.622963,21.19241,0,0,4,3,3
Plant 6_0,0,4,0,0,1,1,0,3.129913,16.01948,0,0,4,2,0
Plant 7_0,0,4,0,0,0,0,0,4.640503,10.1102,0,0,4,2,0
Plant 8_0,0,4,0,0,0,0,0,1.600983,4.833092,0,0,4,2,0
Plant 9_0,0,4,0,0,4,4,0,7.572281,13.93157,0,0,4,2,0
Plant 10_0,0,4,3,3,1,1,0,4.852997,9.767274,3,0,4,2,3
Plant 11_0,0,4,0,0,1,1,0,3.369797,8.630378,0,0,4,2,0
Plant 12_0,0,4,6,6,0,0,0,3.651991,14.7788,0,0,4,2,6
Plant 13_0,0,4,0,0,0,0,0,3.214878,5.491262,0,0,4,2,0
Plant 14_0,0,4,3,3,0,0,0,3.856155,9.743243,0,0,4,2,3
Plant 15_0,0,4,3,3,0,0,0,4.623108,6.611663,0,0,4,2,3
Plant 16_0,0,4,6,6,0,0,0,5.033073,9.217804,0,0,4,2,6
Plant 17_0,0,4,69,62,480,480,0,122.4375,162.8458,0.1291667,0,4,4,69
Plant 18_0,0,4,0,0,1,1,0,4.36795,10.4513,0,0,4,2,0
Plant 19_0,0,4,3,3,0,0,0,2.359917,8.669008,0,0,4,2,3
Plant 20_0,0,4,45,38,240,240,0,109.4136,163.7411,0.1583333,0,4,4,45
Plant 21_0,0,4,90,83,480,480,0,143.7896,140.4144,0.1729167,0,4,4,90
Plant 22_0,0,4,0,0,1,1,0,3.121857,9.367741,0,0,4,2,0
Plant 23_0,0,4,0,0,1,1,0,4.848268,20.51145,0,0,4,2,0
Plant 24_0,0,4,6,6,0,0,0,9.507107,17.70095,0,0,4,2,6
Plant 25_0,0,4,0,0,1,1,0,4.232628,8.910336,0,0,4,2,0
Plant 26_0,0,4,0,0,1,1,0,2.510513,16.83098,0,0,4,2,0
Plant 27_0,0,4,12,5,197,197,0,71.83489,134.4454,0.02538071,0,4,4,12
Plant 28_0,0,4,12,9,16,16,0,21.03113,26.33983,0.5625,0,4,3,12
Plant 29_0,0,4,0,0,1,1,0,1.798798,4.157838,0,0,4,2,0
Plant 30_0,0,4,12,9,43,43,0,25.20581,70.607,0.2093023,0,4,3,12
Plant 31_0,0,4,0,0,0,0,0,2.023361,5.532539,0,0,4,2,0
Plant 32_0,0,4,0,0,4,4,0,4.015579,8.67561,0,0,4,2,0
Plant 33_0,0,4,24,17,84,84,0,84.59108,74.97163,0.202381,0,4,4,24
Plant 34_0,0,4,0,0,0,0,0,5.619385,8.108498,0,0,4,2,0
Plant 35_0,0,4,0,0,0,0,0,3.461296,13.54723,0,0,4,2,0
Plant 36_0,0,4,0,0,1,1,0,4.133484,14.3329,0,0,4,2,0
Plant 37_0,0,4,0,0,1,1,0,3.900589,21.44342,0,0,4,2,0
Plant 38_0,0,4,0,0,0,0,0,3.840073,5.730482,0,0,4,2,0
Plant 39_0,0,4,0,0,0,0,0,4.57843,5.731279,0,0,4,2,0
Plant 40_0,0,4,0,0,0,0,0,7.091614,11.11444,0,0,4,2,0
Plant 41_0,0,4,0,0,0,0,0,4.043564,8.291685,0,0,4,2,0
Plant 42_0,0,4,0,0,1,1,0,1.897736,10.13568,0,0,4,2,0
Plant 43_0,0,4,0,0,0,0,0,4.583622,6.967667,0,0,4,2,0
Plant 44_0,0,4,0,0,0,0,0,1.932434,3.783266,0,0,4,2,0
Plant 45_0,0,4,0,0,0,0,0,2.991043,13.43225,0,0,4,2,0
Plant 46_0,0,4,3,3,1,1,0,5.321701,13.90054,3,0,4,2,3
Plant 47_0,0,4,6,6,0,0,0,3.720894,11.50409,0,0,4,2,6
Plant 48_0,0,4,6,3,20,20,0,15.05763,11.84509,0.15,0,4,3,6
Plant 49_0,0,4,6,3,12,12,0,11.18847,23.53405,0.25,0,4,3,6
Plant 50_0,0,4,3,3,4,4,0,7.775482,17.44223,0.75,0,4,2,3
Plant 51_0,0,4,6,6,0,0,0,8.387726,13.76958,0,0,4,2,6
Plant 52_0,0,4,3,3,0,0,0,6.085032,9.099163,0,0,4,2,3
Plant 53_0,0,4,0,0,0,0,0,2.246964,4.957943,0,0,4,2,0
Plant 54_0,0,4,3,3,1,1,0,5.569397,12.16485,3,0,4,2,3
Plant 55_0,0,4,6,3,40,40,0,16.47388,33.35977,0.075,0,4,3,6
Plant 56_0,0,4,0,0,0,0,0,5.243187,4.985983,0,0,4,2,0
Plant 57_0,0,4,9,6,35,35,0,30.33304,29.57394,0.1714286,0,4,3,9
Plant 58_0,0,4,9,6,12,12,0,17.52089,38.99464,0.5,0,4,3,9
Plant 59_0,0,4,0,0,1,1,0,2.47052,6.591496,0,0,4,2,0
Plant 60_0,0,4,6,6,1,1,0,3.779999,12.93736,6,0,4,2,6
Plant 61_0,0,4,3,3,1,1,0,1.28174,4.214251,3,0,4,2,3
Plant 62_0,0,4,0,0,1,1,0,1.999008,4.773729,0,0,4,2,0
Plant 63_0,0,4,0,0,1,1,0,2.914612,11.38622,0,0,4,2,0
Plant 64_0,0,4,3,3,0,0,0,7.510391,13.18169,0,0,4,2,3
Plant 65_0,0,4,3,3,0,0,0,6.471893,13.88597,0,0,4,2,3
Plant 66_0,0,4,12,9,16,16,0,20.49236,19.90925,0.5625,0,4,3,12
Plant 67_0,0,4,0,0,4,4,0,5.91687,10.89728,0,0,4,2,0
Plant 68_0,0,4,0,0,1,1,0,6.458199,13.49459,0,0,4,2,0
Plant 69_0,0,4,3,3,0,0,0,8.743679,9.920073,0,0,4,2,3
Plant 70_0,0,4,3,3,0,0,0,2.978073,7.392193,0,0,4,2,3
Plant 71_0,0,4,6,6,4,4,0,7.874317,15.22249,1.5,0,4,2,6
Plant 72_0,0,4,3,3,1,1,0,3.170807,17.09125,3,0,4,2,3
Plant 73_0,0,4,6,6,0,0,0,2.926918,8.504944,0,0,4,2,6
Plant 74_0,0,4,0,0,0,0,0,3.095749,6.595638,0,0,4,2,0
Plant 75_0,0,4,6,6,0,0,0,2.806931,12.02376,0,0,4,2,6
Plant 76_0,0,4,0,0,0,0,0,4.608978,12.33037,0,0,4,2,0
Plant 77_0,0,4,3,3,4,4,0,12.71356,20.7177,0.75,0,4,2,3
Plant 78_0,0,4,0,0,1,1,0,1.166609,4.48981,0,0,4,2,0
Plant 79_0,0,4,6,6,1,1,0,3.34198,10.54697,6,0,4,2,6
Plant 80_0,0,4,0,0,0,0,0,2.298684,3.572597,0,0,4,2,0
Plant 81_0,0,4,0,0,1,1,0,2.576413,6.349005,0,0,4,2,0
Plant 82_0,0,4,12,9,32,32,0,10.87838,31.03302,0.28125,0,4,3,12
Plant 83_0,0,4,3,3,0,0,0,3.893494,14.71356,0,0,4,2,3
Plant 84_0,0,4,12,5,61,61,0,33.42479,52.89137,0.08196721,0,4,4,12
Plant 85_0,0,4,0,0,1,1,0,1.924362,8.131823,0,0,4,2,0
Plant 86_0,0,4,9,9,0,0,0,6.511414,12.8996,0,0,4,2,9
Plant 87_0,0,4,6,3,20,20,0,18.10156,28.85697,0.15,0,4,3,6
Plant 88_0,0,4,6,3,21,21,0,42.30481,38.90137,0.1428571,0,4,3,6
Plant 89_0,0,4,3,3,1,1,0,2.940628,6.645136,3,0,4,2,3
Plant 90_0,0,4,0,0,4,4,0,6.923584,15.21965,0,0,4,2,0
Plant 91_0,0,4,3,3,1,1,0,2.25267,7.496155,3,0,4,2,3
Plant 92_0,0,4,0,0,0,0,0,2.364227,4.078703,0,0,4,2,0
Plant 93_0,0,4,0,0,1,1,0,2.027649,10.4652,0,0,4,2,0
Plant 94_0,0,4,0,0,1,1,0,3.607681,8.190473,0,0,4,2,0
Plant 95_0,0,4,3,3,0,0,0,4.632336,10.49004,0,0,4,2,3
Plant 96_0,0,4,0,0,1,1,0,1.690369,8.160007,0,0,4,2,0
Plant 97_0,0,4,0,0,1,1,0,2.315033,10.06632,0,0,4,2,0
Plant 98_0,0,4,0,0,0,0,0,3.246033,7.737983,0,0,4,2,0
Plant 99_0,0,4,15,8,168,168,0,77.03174,121.0682,0.04761905,0,4,4,15
Plant 0_0,0,5,0,0,0,0,0,7.446573,11.00578,0,0,5,2,0
Plant 1_0,0,5,3,3,0,0,0,4.858634,14.20726,0,0,5,2,3
Plant 2_0,0,5,45,38,512,512,0,137.3963,245.0522,0.07421875,0,5,4,45
Plant 3_0,0,5,9,9,0,0,0,7.531281,11.99969,0,0,5,2,9
Plant 4_0,0,5,3,3,0,0,0,3.918777,9.893363,0,0,5,2,3
Plant 5_0,0,5,3,0,13,13,0,9.622963,21.19241,0,0,5,3,3
Plant 6_0,0,5,0,0,1,1,0,3.129913,16.01948,0,0,5,2,0
Plant 7_0,0,5,0,0,0,0,0,4.640503,10.1102,0,0,5,2,0
Plant 8_0,0,5,0,0,0,0,0,1.600983,4.833092,0,0,5,2,0
Plant 9_0,0,5,0,0,4,4,0,7.572281,13.93157,0,0,5,2,0
Plant 10_0,0,5,3,3,1,1,0,4.852997,9.767274,3,0,5,2,3
Plant 11_0,0,5,0,0,1,1,0,3.369797,8.630378,0,0,5,2,0
Plant 12_0,0,5,6,6,0,0,0,3.651991,14.7788,0,0,5,2,6
Plant 13_0,0,5,0,0,0,0,0,3.214878,5.491262,0,0,5,2,0
Plant 14_0,0,5,3,3,0,0,0,3.856155,9.743243,0,0,5,2,3
Plant 15_0,0,5,3,3,0,0,0,4.623108,6.611663,0,0,5,2,3
Plant 16_0,0,5,6,3,56,56,0,23.87407,24.8903,0.05357143,0,5,3,6
Plant 17_0,0,5,81,74,480,480,0,122.4375,162.8458,0.1541667,0,5,4,81
Plant 18_0,0,5,0,0,1,1,0,4.36795,10.4513,0,0,5,2,0
Plant 19_0,0,5,6,6,0,0,0,2.359917,8.669008,0,0,5,2,6
Plant 20_0,0,5,87,80,240,240,0,109.4136,163.7411,0.3333333,0,5,4,87
Plant 21_0,0,5,123,116,480,480,0,143.7896,140.4144,0.2416667,0,5,4,123
Plant 22_0,0,5,0,0,1,1,0,3.121857,9.367741,0,0,5,2,0
Plant 23_0,0,5,0,0,1,1,0,4.848268,20.51145,0,0,5,2,0
Plant 24_0,0,5,6,6,0,0,0,9.507107,17.70095,0,0,5,2,6
Plant 25_0,0,5,0,0,1,1,0,4.232628,8.910336,0,0,5,2,0
Plant 26_0,0,5,0,0,1,1,0,2.510513,16.83098,0,0,5,2,0
Plant 27_0,0,5,36,29,197,197,0,71.83489,134.4454,0.1472081,0,5,4,36
Plant 28_0,0,5,27,20,144,144,0,59.64683,61.45962,0.1388889,0,5,4,27
Plant 29_0,0,5,0,0,1,1,0,1.798798,4.157838,0,0,5,2,0
Plant 30_0,0,5,39,32,512,512,0,104.2676,220.4141,0.0625,0,5,4,39
Plant 31_0,0,5,0,0,0,0,0,2.023361,5.532539,0,0,5,2,0
Plant 32_0,0,5,0,0,4,4,0,4.015579,8.67561,0,0,5,2,0
Plant 33_0,0,5,42,35,84,84,0,84.59108,74.97163,0.4166667,0,5,4,42
Plant 34_0,0,5,0,0,0,0,0,5.619385,8.108498,0,0,5,2,0
Plant 35_0,0,5,0,0,0,0,0,3.461296,13.54723,0,0,5,2,0
Plant 36_0,0,5,0,0,1,1,0,4.133484,14.3329,0,0,5,2,0
Plant 37_0,0,5,0,0,1,1,0,3.900589,21.44342,0,0,5,2,0
Plant 38_0,0,5,0,0,0,0,0,3.840073,5.730482,0,0,5,2,0
Plant 39_0,0,5,0,0,0,0,0,4.57843,5.731279,0,0,5,2,0
Plant 40_0,0,5,0,0,0,0,0,7.091614,11.11444,0,0,5,2,0
Plant 41_0,0,5,0,0,0,0,0,4.043564,8.291685,0,0,5,2,0
Plant 42_0,0,5,0,0,1,1,0,1.897736,10.13568,0,0,5,2,0
Plant 43_0,0,5,0,0,0,0,0,4.583622,6.967667,0,0,5,2,0
Plant 44_0,0,5,0,0,0,0,0,1.932434,3.783266,0,0,5,2,0
Plant 45_0,0,5,0,0,0,0,0,2.991043,13.43225,0,0,5,2,0
Plant 46_0,0,5,3,3,1,1,0,5.321701,13.90054,3,0,5,2,3
Plant 47_0,0,5,6,3,30,30,0,22.51338,46.01636,0.1,0,5,3,6
Plant 48_0,0,5,6,3,20,20,0,15.05763,11.84509,0.15,0,5,3,6
Plant 49_0,0,5,6,3,12,12,0,11.18847,23.53405,0.25,0,5,3,6
Plant 50_0,0,5,3,3,4,4,0,7.775482,17.44223,0.75,0,5,2,3
Plant 51_0,0,5,6,6,0,0,0,8.387726,13.76958,0,0,5,2,6
Plant 52_0,0,5,3,3,0,0,0,6.085032,9.099163,0,0,5,2,3
Plant 53_0,0,5,0,0,0,0,0,2.246964,4.957943,0,0,5,2,0
Plant 54_0,0,5,3,3,1,1,0,5.569397,12.16485,3,0,5,2,3
Plant 55_0,0,5,6,3,40,40,0,16.47388,33.35977,0.075,0,5,3,6
Plant 56_0,0,5,0,0,0,0,0,5.243187,4.985983,0,0,5,2,0
Plant 57_0,0,5,12,9,35,35,0,30.33304,29.57394,0.2571429,0,5,3,12
Plant 58_0,0,5,9,2,61,61,0,49.53102,90.98751,0.03278688,0,5,4,9
Plant 59_0,0,5,0,0,1,1,0,2.47052,6.591496,0,0,5,2,0
Plant 60_0,0,5,9,6,24,24,0,21.89015,51.74945,0.25,0,5,3,9
Plant 61_0,0,5,3,3,1,1,0,1.28174,4.214251,3,0,5,2,3
Plant 62_0,0,5,0,0,1,1,0,1.999008,4.773729,0,0,5,2,0
Plant 63_0,0,5,0,0,1,1,0,2.914612,11.38622,0,0,5,2,0
Plant 64_0,0,5,6,6,0,0,0,7.510391,13.18169,0,0,5,2,6
Plant 65_0,0,5,3,3,0,0,0,6.471893,13.88597,0,0,5,2,3
Plant 66_0,0,5,21,14,128,128,0,42.80336,25.97687,0.109375,0,5,4,21
Plant 67_0,0,5,0,0,4,4,0,5.91687,10.89728,0,0,5,2,0
Plant 68_0,0,5,0,0,1,1,0,6.458199,13.49459,0,0,5,2,0
Plant 69_0,0,5,3,3,0,0,0,8.743679,9.920073,0,0,5,2,3
Plant 70_0,0,5,3,3,0,0,0,2.978073,7.392193,0,0,5,2,3
Plant 71_0,0,5,9,6,52,52,0,27.14734,30.44499,0.1153846,0,5,3,9
Plant 72_0,0,5,6,6,1,1,0,3.170807,17.09125,6,0,5,2,6
Plant 73_0,0,5,6,3,20,20,0,13.02704,14.15874,0.15,0,5,3,6
Plant 74_0,0,5,0,0,0,0,0,3.095749,6.595638,0,0,5,2,0
Plant 75_0,0,5,6,3,12,12,0,20.91657,42.86877,0.25,0,5,3,6
Plant 76_0,0,5,0,0,0,0,0,4.608978,12.33037,0,0,5,2,0
Plant 77_0,0,5,3,3,4,4,0,12.71356,20.7177,0.75,0,5,2,3
Plant 78_0,0,5,3,3,1,1,0,1.166609,4.48981,3,0,5,2,3
Plant 79_0,0,5,6,3,13,13,0,14.23386,31.64092,0.2307692,0,5,3,6
Plant 80_0,0,5,0,0,0,0,0,2.298684,3.572597,0,0,5,2,0
Plant 81_0,0,5,0,0,1,1,0,2.576413,6.349005,0,0,5,2,0
Plant 82_0,0,5,15,8,384,384,0,44.41544,76.12931,0.02083333,0,5,4,15
Plant 83_0,0,5,3,3,0,0,0,3.893494,14.71356,0,0,5,2,3
Plant 84_0,0,5,18,11,61,61,0,33.42479,52.89137,0.1803279,0,5,4,18
Plant 85_0,0,5,0,0,1,1,0,1.924362,8.131823,0,0,5,2,0
Plant 86_0,0,5,9,6,12,12,0,31.73077,38.69881,0.5,0,5,3,9
Plant 87_0,0,5,6,3,20,20,0,18.10156,28.85697,0.15,0,5,3,6
Plant 88_0,0,5,9,6,21,21,0,42.30481,38.90137,0.2857143,0,5,3,9
Plant 89_0,0,5,3,3,1,1,0,2.940628,6.645136,3,0,5,2,3
Plant 90_0,0,5,0,0,4,4,0,6.923584,15.21965,0,0,5,2,0
Plant 91_0,0,5,3,3,1,1,0,2.25267,7.496155,3,0,5,2,3
Plant 92_0,0,5,0,0,0,0,0,2.364227,4.078703,0,0,5,2,0
Plant 93_0,0,5,3,3,1,1,0,2.027649,10.4652,3,0,5,2,3
Plant 94_0,0,5,0,0,1,1,0,3.607681,8.190473,0,0,5,2,0
Plant 95_0,0,5,3,3,0,0,0,4.632336,10.49004,0,0,5,2,3
Plant 96_0,0,5,0,0,1,1,0,1.690369,8.160007,0,0,5,2,0
Plant 97_0,0,5,0,0,1,1,0,2.315033,10.06632,0,0,5,2,0
Plant 98_0,0,5,3,3,0,0,0,3.246033,7.737983,0,0,5,2,3
Plant 99_0,0,5,15,8,168,168,0,77.03174,121.0682,0.04761905,0,5,4,15
Plant 0_0,0,6,0,0,0,0,0,7.446573,11.00578,0,0,6,2,0
Plant 1_0,0,6,3,3,0,0,0,4.858634,14.20726,0,0,6,2,3
Plant 2_0,0,6,84,77,512,512,0,137.3963,245.0522,0.1503906,0,6,4,84
Plant 3_0,0,6,12,9,48,48,0,35.58058,36.85989,0.1875,0,6,3,12
Plant 4_0,0,6,3,3,0,0,0,3.918777,9.893363,0,0,6,2,3
Plant 5_0,0,6,3,0,13,13,0,9.622963,21.19241,0,0,6,3,3
Plant 6_0,0,6,0,0,1,1,0,3.129913,16.01948,0,0,6,2,0
Plant 7_0,0,6,0,0,0,0,0,4.640503,10.1102,0,0,6,2,0
Plant 8_0,0,6,0,0,0,0,0,1.600983,4.833092,0,0,6,2,0
Plant 9_0,0,6,0,0,4,4,0,7.572281,13.93157,0,0,6,2,0
Plant 10_0,0,6,3,3,1,1,0,4.852997,9.767274,3,0,6,2,3
Plant 11_0,0,6,0,0,1,1,0,3.369797,8.630378,0,0,6,2,0
Plant 12_0,0,6,6,6,0,0,0,3.651991,14.7788,0,0,6,2,6
Plant 13_0,0,6,0,0,0,0,0,3.214878,5.491262,0,0,6,2,0
Plant 14_0,0,6,3,3,0,0,0,3.856155,9.743243,0,0,6,2,3
Plant 15_0,0,6,3,3,0,0,0,4.623108,6.611663,0,0,6,2,3
Plant 16_0,0,6,9,6,56,56,0,23.87407,24.8903,0.1071429,0,6,3,9
Plant 17_0,0,6,87,80,480,480,0,122.4375,162.8458,0.1666667,0,6,4,87
Plant 18_0,0,6,0,0,1,1,0,4.36795,10.4513,0,0,6,2,0
Plant 19_0,0,6,9,6,16,16,0,10.85197,15.12896,0.375,0,6,3,9
Plant 20_0,0,6,99,92,240,240,0,109.4136,163.7411,0.3833333,0,6,4,99
Plant 21_0,0,6,156,149,480,480,0,143.7896,140.4144,0.3104167,0,6,4,156
Plant 22_0,0,6,0,0,1,1,0,3.121857,9.367741,0,0,6,2,0
Plant 23_0,0,6,0,0,1,1,0,4.848268,20.51145,0,0,6,2,0
Plant 24_0,0,6,6,6,0,0,0,9.507107,17.70095,0,0,6,2,6
Plant 25_0,0,6,0,0,1,1,0,4.232628,8.910336,0,0,6,2,0
Plant 26_0,0,6,3,3,1,1,0,2.510513,16.83098,3,0,6,2,3
Plant 27_0,0,6,48,41,197,197,0,71.83489,134.4454,0.2081218,0,6,4,48
Plant 28_0,0,6,30,23,144,144,0,59.64683,61.45962,0.1597222,0,6,4,30
Plant 29_0,0,6,0,0,1,1,0,1.798798,4.157838,0,0,6,2,0
Plant 30_0,0,6,63,56,512,512,0,104.2676,220.4141,0.109375,0,6,4,63
Plant 31_0,0,6,3,3,0,0,0,2.023361,5.532539,0,0,6,2,3
Plant 32_0,0,6,0,0,4,4,0,4.015579,8.67561,0,0,6,2,0
Plant 33_0,0,6,60,53,84,84,0,84.59108,74.97163,0.6309524,0,6,4,60
Plant 34_0,0,6,0,0,0,0,0,5.619385,8.108498,0,0,6,2,0
Plant 35_0,0,6,0,0,0,0,0,3.461296,13.54723,0,0,6,2,0
Plant 36_0,0,6,0,0,1,1,0,4.133484,14.3329,0,0,6,2,0
Plant 37_0,0,6,3,3,1,1,0,3.900589,21.44342,3,0,6,2,3
Plant 38_0,0,6,0,0,0,0,0,3.840073,5.730482,0,0,6,2,0
Plant 39_0,0,6,0,0,0,0,0,4.57843,5.731279,0,0,6,2,0
Plant 40_0,0,6,0,0,0,0,0,7.091614,11.11444,0,0,6,2,0
Plant 41_0,0,6,0,0,0,0,0,4.043564,8.291685,0,0,6,2,0
Plant 42_0,0,6,0,0,1,1,0,1.897736,10.13568,0,0,6,2,0
Plant 43_0,0,6,0,0,0,0,0,4.583622,6.967667,0,0,6,2,0
Plant 44_0,0,6,0,0,0,0,0,1.932434,3.783266,0,0,6,2,0
Plant 45_0,0,6,0,0,0,0,0,2.991043,13.43225,0,0,6,2,0
Plant 46_0,0,6,3,3,1,1,0,5.321701,13.90054,3,0,6,2,3
Plant 47_0,0,6,6,3,30,30,0,22.51338,46.01636,0.1,0,6,3,6
Plant 48_0,0,6,6,3,20,20,0,15.05763,11.84509,0.15,0,6,3,6
Plant 49_0,0,6,6,3,12,12,0,11.18847,23.53405,0.25,0,6,3,6
Plant 50_0,0,6,3,3,4,4,0,7.775482,17.44223,0.75,0,6,2,3
Plant 51_0,0,6,6,6,0,0,0,8.387726,13.76958,0,0,6,2,6
Plant 52_0,0,6,3,3,0,0,0,6.085032,9.099163,0,0,6,2,3
Plant 53_0,0,6,0,0,0,0,0,2.246964,4.957943,0,0,6,2,0
Plant 54_0,0,6,3,3,1,1,0,5.569397,12.16485,3,0,6,2,3
Plant 55_0,0,6,6,3,40,40,0,16.47388,33.35977,0.075,0,6,3,6
